Time;Latitude;Longitude;Altitude;Speed;row;pitch;yaw
236,228338;-6,9800859;107,5696796;679,9;0,1486607;-0,09;286.000.000.000.000;250.090.000.000.000
236,428639;-6,9800858;107,5696795;679,88;0,1004988;-0,04;315.000.000.000.000;249.950.000.000.000
236,628031;-6,9800857;107,5696797;679,88;0,09848858;0,07;340.000.000.000.000;249.780.000.000.000
236,828197;-6,9800856;107,5696797;679,83;0,03162277;0,27;356.000.000.000.000;249.640.000.000.000
237,028169;-6,9800855;107,5696798;679,79;0,1264911;0,53;362.000.000.000.000;249.600.000.000.000
237,228048;-6,9800855;107,5696799;679,78;0,09219544;0,77;360.000.000.000.000;249.630.000.000.000
237,428685;-6,9800854;107,5696799;679,71;0,09486832;0,96;352.000.000.000.000;249.720.000.000.000
237,628545;-6,9800854;107,56968;679,7;0,07211103;116.000.000.000.000;340.000.000.000.000;249.860.000.000.000
237,828042;-6,9800853;107,5696799;679,59;0,1220656;136.000.000.000.000;329.000.000.000.000;250
238,028046;-6,9800853;107,5696799;679,55;0,1236932;155.000.000.000.000;323.000.000.000.000;250.080.000.000.000
238,228199;-6,9800853;107,5696796;679,5;0,1077033;168.000.000.000.000;314.000.000.000.000;250.080.000.000.000
238,428675;-6,9800854;107,5696794;679,51;0,1702939;173.000.000.000.000;297.000.000.000.000;249.970.000.000.000
238,628298;-6,9800855;107,5696791;679,51;0,284605;174.000.000.000.000;286.000.000.000.000;249.790.000.000.000
238,827726;-6,9800857;107,5696787;679,48;0,2469818;164.000.000.000.000;290.000.000.000.000;249.510.000.000.000
239,028213;-6,9800861;107,5696785;679,49;0,27313;151.000.000.000.000;301.000.000.000.000;249.250.000.000.000
239,228134;-6,9800867;107,5696782;679,44;0,4346263;140.000.000.000.000;313.000.000.000.000;249.050.000.000.000
239,427982;-6,9800873;107,5696778;679,47;0,4103657;132.000.000.000.000;336.000.000.000.000;249.010.000.000.000
239,628201;-6,9800878;107,5696773;679,56;0,4494441;130.000.000.000.000;364.000.000.000.000;249.190.000.000.000
239,828225;-6,9800883;107,5696766;679,57;0,4045986;137.000.000.000.000;376.000.000.000.000;249.540.000.000.000
240,047975;-6,9800887;107,5696759;679,57;0,5385165;152.000.000.000.000;379.000.000.000.000;249.990.000.000.000
240,228203;-6,980089;107,5696748;679,61;0,6661081;171.000.000.000.000;393.000.000.000.000;250.500.000.000.000
240,428327;-6,9800893;107,5696734;679,56;0,7648529;190.000.000.000.000;416.000.000.000.000;251.070.000.000.000
240,628293;-6,9800899;107,5696725;679,55;0,4186884;210.000.000.000.000;438.000.000.000.000;251.640.000.000.000
240,828154;-6,9800907;107,5696717;679,54;0,6742403;226.000.000.000.000;452.000.000.000.000;252.190.000.000.000
241,047776;-6,9800916;107,569671;679,57;0,4743416;232.000.000.000.000;458.000.000.000.000;252.670.000.000.000
241,228151;-6,9800922;107,5696705;679,58;0,4123105;219.000.000.000.000;466.000.000.000.000;253.080.000.000.000
241,428231;-6,9800927;107,5696696;679,59;0,6705222;189.000.000.000.000;479.000.000.000.000;253.490.000.000.000
241,628385;-6,980093;107,5696682;679,54;0,8561542;150.000.000.000.000;499.000.000.000.000;253.910.000.000.000
241,847815;-6,9800934;107,569667;679,53;0,5977458;107.000.000.000.000;521.000.000.000.000;254.320.000.000.000
242,027978;-6,9800939;107,5696661;679,57;0,5382379;0,6;537.000.000.000.000;254.630.000.000.000
242,228546;-6,9800945;107,5696654;679,67;0,6080295;0,05;530.000.000.000.000;254.770.000.000.000
242,428079;-6,9800952;107,5696647;679,66;0,5166237;-0,59;511.000.000.000.000;254.740.000.000.000
242,628091;-6,9800957;107,569664;679,71;0,4565085;-125.000.000.000.000;492.000.000.000.000;254.580.000.000.000
242,82809;-6,9800961;107,5696634;679,78;0,4522167;-176.000.000.000.000;467.000.000.000.000;254.230.000.000.000
243,028209;-6,9800964;107,5696625;679,86;0,5920304;-209.000.000.000.000;443.000.000.000.000;253.680.000.000.000
243,228488;-6,9800966;107,5696613;679,89;0,5714018;-232.000.000.000.000;426.000.000.000.000;253
243,428204;-6,9800968;107,5696605;679,94;0,4661545;-251.000.000.000.000;418.000.000.000.000;252.260.000.000.000
243,628131;-6,9800972;107,5696601;679,97;0,2184033;-259.000.000.000.000;417.000.000.000.000;251.550.000.000.000
243,828211;-6,9800975;107,5696603;680,02;0,1104536;-252.000.000.000.000;423.000.000.000.000;250.920.000.000.000
244,028588;-6,9800977;107,5696602;680,05;0,2126029;-227.000.000.000.000;439.000.000.000.000;250.400.000.000.000
244,228122;-6,9800977;107,5696598;680,04;0,3573514;-188.000.000.000.000;456.000.000.000.000;249.990.000.000.000
244,428098;-6,9800976;107,5696593;680,09;0,3206244;-143.000.000.000.000;464.000.000.000.000;249.660.000.000.000
244,628221;-6,9800975;107,5696588;680,12;0,4060788;-0,95;457.000.000.000.000;249.370.000.000.000
